Zip Range Start,Zip Range End,Svc Terminal,Direct/Indirect
A0A,A0C,171,D
A0E,A0E,171,D
A0G,A0H,171,D
A0J,A0N,171,D
A0P,A0P,171,D
A0R,A0R,171,D
A1A,A1H,171,D
A1K,A1L,171,D
A1N,A1N,171,D
A1V,A1X,171,D
A2A,A2B,171,D
A2H,A2H,171,D
A2N,A2N,171,D
A2V,A2V,160,I
B0A,B0A,171,D
B0C,B0C,171,D
B0E,B0E,171,D
B0H,B0H,171,D
B0J,B0K,173,D
B0L,B0L,171,D
B0M,B0N,173,D
B0P,B0P,173,D
B0R,B0R,173,D
B0S,B0S,171,D
B0T,B0T,173,D
B0V,B0V,171,D
B0W,B0W,173,D
B0X,B0Y,171,D
B1A,B1A,171,D
B1H,B1H,171,D
B1L,B1M,171,D
B1N,B1N,173,D
B1P,B1P,171,D
B1R,B1S,171,D
B1V,B1V,171,D
B2A,B2A,171,D
B2G,B2H,171,D
B2N,B2N,171,D
B2T,B2T,173,D
B2V,B3B,173,D
B3E,B3E,173,D
B3G,B3H,173,D
B3J,B3N,173,D
B3P,B3P,173,D
B3R,B3T,173,D
B3V,B3V,173,D
B3Z,B4C,173,D
B4E,B4E,173,D
B4G,B4G,173,D
B4H,B4H,171,D
B4N,B4N,171,D
B4R,B4R,171,D
B4V,B4V,171,D
B5A,B5A,171,D
B9A,B9A,171,D
C0A,C0B,171,D
C1A,C1C,171,D
C1E,C1E,171,D
C1N,C1N,171,D
E0A,E0C,171,D
E0E,E0E,171,D
E0G,E0H,171,D
E0J,E0L,171,D
E0N,E0N,171,D
E0X,E0X,171,D
E0Z,E1C,171,D
E1E,E1E,171,D
E1G,E1H,171,D
E1J,E1J,171,D
E1N,E1N,171,D
E1V,E1X,171,D
E2A,E2A,171,D
E2E,E2E,171,D
E2G,E2H,171,D
E2J,E2M,171,D
E2R,E2S,171,D
E2V,E2V,171,D
E3A,E3C,171,D
E3E,E3E,171,D
E3L,E3L,171,D
E3N,E3N,171,D
E3V,E3V,171,D
E3Y,E3Z,171,D
E4B,E4B,171,D
E4E,E4E,171,D
E4G,E4G,171,D
E4K,E4K,171,D
E4P,E4P,171,D
E4S,E4S,171,D
E5B,E5C,171,D
E5H,E5H,171,D
E5N,E5N,171,D
E6B,E6C,171,D
E6G,E6H,171,D
E6K,E6L,171,D
E7B,E7C,171,D
E7G,E7G,171,D
E7K,E7N,171,D
E7P,E7P,171,D
E8B,E8C,171,D
E8K,E8K,171,D
E8M,E8N,171,D
E8P,E8P,171,D
E8R,E8T,171,D
E9A,E9A,171,D
E9E,E9E,171,D
G0A,G0A,163,D
G0B,G0B,166,D
G0C,G0C,160,I
G0E,G0E,160,I
G0G,G0H,160,I
G0J,G0K,160,I
G0L,G0L,166,D
G0M,G0M,163,D
G0N,G0N,166,D
G0P,G0P,166,D
G0R,G0S,163,D
G0T,G0T,160,I
G0V,G0W,160,I
G0X,G0X,163,D
G0Y,G0Z,166,D
G1A,G1C,163,D
G1E,G1E,163,D
G1G,G1H,163,D
G1J,G1N,163,D
G1P,G1P,163,D
G1R,G1T,163,D
G1V,G1Y,163,D
G2A,G2C,163,D
G2E,G2E,163,D
G2G,G2G,163,D
G2J,G2N,163,D
G3A,G3A,163,D
G3B,G3B,160,I
G3E,G3E,163,D
G3G,G3H,163,D
G3J,G3K,163,D
G3Z,G3Z,163,D
G4A,G4A,160,I
G4R,G4R,160,I
G4W,G4X,160,I
G4Z,G5C,160,I
G5H,G5H,160,I
G5L,G5M,160,I
G5R,G5R,160,I
G5T,G5T,160,I
G5V,G5V,163,D
G5X,G5Y,163,D
G6A,G6C,163,D
G6E,G6E,163,D
G6G,G6G,166,D
G6H,G6H,163,D
G6J,G6K,163,D
G6L,G6L,166,D
G6P,G6P,166,D
G6R,G6R,166,D
G6T,G6T,166,D
G6V,G6X,163,D
G6Z,G7A,163,D
G7B,G7B,160,I
G7G,G7H,160,I
G7J,G7K,160,I
G7P,G7P,160,I
G7S,G7S,160,I
G7X,G7X,160,I
G8A,G8A,166,D
G8B,G8B,160,I
G8H,G8H,160,I
G8J,G8K,163,I
G8L,G8N,160,I
G8P,G8P,160,I
G8T,G8T,166,D
G8V,G8W,166,D
G8Y,G9C,166,D
G9H,G9H,166,D
G9N,G9N,166,D
G9P,G9P,166,D
G9T,G9T,166,D
G9X,G9X,160,I
H0A,H0A,160,D
H0M,H0M,214,D
H1A,H1C,160,D
H1E,H1E,160,D
H1G,H1H,160,D
H1J,H1P,160,D
H1R,H1T,160,D
H1V,H2C,160,D
H2E,H2E,160,D
H2G,H2H,160,D
H2J,H2N,160,D
H2P,H2P,160,D
H2R,H2T,160,D
H2V,H3C,160,D
H3E,H3E,160,D
H3G,H3H,160,D
H3J,H3N,160,D
H3P,H3P,160,D
H3R,H3T,160,D
H3V,H4C,160,D
H4E,H4E,160,D
H4G,H4H,160,D
H4J,H4N,160,D
H4P,H4P,160,D
H4R,H4T,160,D
H4V,H5B,160,D
H7A,H7A,160,D
H7C,H7C,160,D
H7E,H7E,160,D
H7G,H7H,160,D
H7K,H7N,160,D
H7P,H7P,160,D
H7R,H7T,160,D
H7V,H7X,160,D
H8N,H8N,160,D
H8P,H8P,160,D
H8R,H8T,160,D
H8Y,H9C,160,D
H9E,H9E,160,D
H9G,H9H,160,D
H9J,H9J,160,D
H9P,H9P,160,D
H9R,H9S,160,D
H9W,H9X,160,D
J0A,J0C,166,D
J0E,J0E,160,D
J0G,J0H,166,D
J0J,J0K,166,D
J0L,J0L,160,D
J0M,J0M,160,I
J0N,J0N,160,D
J0P,J0P,163,D
J0R,J0R,163,D
J0S,J0S,160,D
J0T,J0T,160,I
J0V,J0X,214,D
J0Y,J0Y,160,I
J0Z,J1A,160,D
J1E,J1E,160,D
J1G,J1H,160,D
J1J,J1L,160,D
J1M,J1M,163,D
J1N,J1N,160,D
J1S,J1S,160,D
J1T,J1T,166,D
J1X,J1X,160,D
J1Z,J2C,166,D
J2E,J2E,166,D
J2G,J2H,160,D
J2J,J2L,160,D
J2N,J2N,160,D
J2S,J2T,160,D
J2W,J2Y,160,D
J3A,J3B,160,D
J3E,J3E,160,D
J3G,J3H,160,D
J3L,J3N,160,D
J3P,J3P,160,D
J3R,J3R,160,D
J3T,J3T,166,D
J3V,J3V,160,D
J3X,J3Z,160,D
J4B,J4B,160,D
J4G,J4H,160,D
J4J,J4N,160,D
J4P,J4P,160,D
J4R,J4T,160,D
J4V,J5A,160,D
J5J,J5J,160,D
J5R,J5R,160,D
J5V,J5V,166,D
J5W,J5W,160,D
J5X,J5X,160,I
J5Y,J6A,160,D
J6E,J6E,160,D
J6J,J6K,160,D
J6N,J6N,160,D
J6R,J6T,160,D
J6V,J7C,160,D
J7E,J7E,160,D
J7G,J7H,160,D
J7J,J7N,160,D
J7P,J7P,160,D
J7R,J7R,160,D
J7T,J7T,160,D
J7V,J7V,160,D
J7X,J8A,160,D
J8B,J8C,160,I
J8G,J8H,160,D
J8L,J8L,214,D
J8N,J8N,214,D
J8P,J8P,214,D
J8R,J8R,214,D
J8T,J8T,214,D
J8V,J8V,214,D
J8X,J9A,214,D
J9E,J9E,214,D
J9H,J9H,214,D
J9J,J9J,214,D
J9L,J9L,160,I
J9P,J9P,160,I
J9T,J9T,160,I
J9X,J9X,160,I
J9Z,J9Z,160,I
K0A,K0C,214,D
K0E,K0E,214,D
K0G,K0H,214,D
K0J,K0J,214,D
K0K,K0M,222,D
K1A,K1C,214,D
K1E,K1E,214,D
K1G,K1H,214,D
K1J,K1L,214,D
K1N,K1N,214,D
K1P,K1P,214,D
K1R,K1T,214,D
K1V,K1W,214,D
K1Y,K2C,214,D
K2E,K2E,214,D
K2G,K2H,214,D
K2J,K2M,214,D
K2P,K2P,214,D
K2S,K2T,214,D
K2V,K2V,214,D
K4A,K4C,214,D
K4K,K4K,214,D
K4M,K4M,214,D
K4P,K4P,214,D
K4R,K4R,214,D
K6A,K6A,214,D
K6H,K6H,214,D
K6J,K6J,214,D
K6T,K6T,214,D
K6V,K6V,214,D
K7A,K7A,214,D
